Technology,Country,Global warming,Stratospheric ozone depletion,Ionizing radiation,"Ozone formation, Human health",Fine particulate matter formation,"Ozone formation, Terrestrial ecosystems",Terrestrial acidification,Freshwater eutrophication,Marine eutrophication,Terrestrial ecotoxicity,Freshwater ecotoxicity,Marine ecotoxicity,Human carcinogenic toxicity,Human non-carcinogenic toxicity,Land use,Mineral resource scarcity,Fossil resource scarcity,Water consumption
oil_chp,DE,694.2100684,0.00018508,6.538651659,0.756724845,0.077837385,0.779870973,1.965894137,0.01387653,0.001392628,380.0186625,1.151143542,0.616663419,0.282231532,2.269300023,1.227499581,0.141481506,221.187104,49.46997565
other_biogas,DE,345.3759733,0.00129608,7.379338814,0.65177403,0.08656705,0.660963498,9.008573844,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656374,32.9793508,3.529484283
windon,DE,21.08997586,5.89453E-06,0.96134542,0.054023126,0.020148682,0.056381787,0.077693301,0.013819532,0.001134485,87.25413706,7.113048652,1.830685351,0.013968942,0.813383226,1.353161438,0.39419992,4.934586575,0.203876074
biomass,DE,51.46613669,0.000277947,0.851973621,1.455776345,0.096821526,1.479209816,1.149206246,0.009160383,0.001228837,557.3903385,2.559791863,0.99875898,0.186811849,1.642142371,700.3769521,0.16356793,12.04371425,0.200732683
solar,DE,113.2027273,3.56715E-05,9.272651378,0.253530678,0.096208649,0.265810711,0.433428309,0.065494555,0.007279393,967.8960368,10.07766544,3.199767148,0.036161967,3.230006736,31.81426384,0.914966313,25.42987521,3.356959326
hydro_reservoir,DE,62.3199003,2.04531E-06,0.470092095,0.017406227,0.004732531,0.017749016,0.016033706,0.00181052,0.000107569,8.384096799,0.211352824,0.071410793,0.002461443,0.078456924,0.118529778,0.061080684,1.002440507,29.30094662
blast_furnace,DE,952.6820629,0.000104712,6.536715169,1.746081968,0.728558108,1.865743358,2.241583817,0.215494895,0.013899803,266.0505466,8.426393108,2.900462714,0.23385738,5.00745019,7.349041674,19.52254714,136.5585309,2.346415095
waste,DE,248.8411169,0.000630851,29.46594051,0.731193178,0.087962379,0.753805353,1.12519082,0.144098606,0.010046766,831.6723023,16.31787712,5.507230652,0.368156628,7.474618133,61.87659181,3.834437762,102.623247,2.044863637
nuclear_BWR,DE,12.91169909,2.39396E-05,698.9053173,0.039196255,0.026155136,0.039930476,0.045256433,0.009248011,0.012554204,92.14573535,0.872744759,0.3108831,0.007131238,1.509152099,0.332126429,0.920197738,2.97720376,3.802191901
nuclear_PWR,DE,11.81194215,2.13357E-05,614.5125045,0.035791294,0.02373712,0.036460436,0.041560674,0.008585172,0.011296173,83.94334206,0.800817898,0.285113045,0.006605499,1.359614509,0.292722521,0.831486391,2.731969647,3.058657157
coal_chp,DE,1296.549567,0.000359553,8.189703629,1.694840499,0.123736149,1.708114462,2.23711397,0.576221286,0.038129231,148.5784355,17.73919486,5.927860666,0.177089833,3.213988904,9.867773159,0.24688906,276.4153931,52.36916384
gas,DK,517.8878031,0.000130393,0.418521099,0.452452063,0.014151891,0.4598538,0.205148004,0.005580791,0.000343173,44.12774202,0.785839158,0.615508241,0.006285182,0.37175,0.512383077,0.119483168,219.8085287,0.867342461
oil,DK,1265.366742,0.000424562,11.68803227,3.822354134,0.15809026,3.86346073,14.94137629,0.02478978,0.00248685,1442.569134,2.256506202,1.529300046,0.49882768,4.844423338,2.190660481,0.252790995,395.3941568,2.832068432
hydro_runof,DK,4.43140669,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394112,0.051202688,0.804620512,0.047635165
oil_chp,DK,984.7103086,0.000330309,9.075849925,2.974254959,0.123202365,3.00624025,11.62517443,0.019329925,0.001937142,1122.225333,1.75601186,1.189818977,0.388153348,3.772149771,1.686834879,0.196874825,307.6476315,72.50984663
other_biogas,DK,345.3759723,0.00129608,7.379338814,0.651774088,0.08656705,0.660963557,9.00857404,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.52948079
windon,DK,13.83258894,3.86613E-06,0.630531346,0.035432912,0.013215198,0.03697992,0.050957835,0.009064013,0.00074409,57.22860801,4.665333604,1.20071702,0.009162011,0.53348523,0.887517325,0.258549511,3.2365165,0.133694264
biomass,DK,51.46687407,0.000277948,0.85197103,1.455777347,0.096821578,1.479210811,1.149206864,0.009160355,0.001229176,557.3896477,2.559897901,0.998790096,0.18681223,1.642149567,700.377308,0.163567663,12.04365235,0.200731578
solar,DK,88.52818894,3.10142E-05,7.864112521,0.205499244,0.078882376,0.215514718,0.392957453,0.07230725,0.006931418,966.5844855,20.24807944,5.729587147,0.03117367,3.972341276,2.338089871,0.948755347,20.30139792,2.70688983
waste,DK,846.7848134,0.000450646,16.8441571,2.929239971,0.144713962,2.964887929,9.882939476,0.027225937,0.002911035,1128.705216,3.289759153,1.636624285,0.419954325,4.337574969,212.3513002,0.45596194,274.90113,23.34122724
coal_chp,DK,1124.531842,0.000303118,7.111081473,1.462532573,0.089061155,1.47411607,2.310787041,0.506703359,0.032059041,100.8621681,15.43104055,5.150110096,0.15431675,2.740601926,8.633132558,0.20949131,242.4807692,37.41916728
solar,NO,90.56211577,2.85372E-05,7.418121972,0.20282457,0.076966938,0.212648598,0.346742599,0.052395653,0.005823514,774.3169468,8.062132279,2.559813615,0.028929579,2.584005388,25.4514157,0.731973055,20.34390498,2.685667049
gas,BA,746.6553048,0.000299595,1.174386125,0.650226315,0.020167646,0.669090146,0.441171835,0.008910536,0.000578551,57.01963488,1.093542605,0.67695532,0.009567432,0.596381701,0.674915108,0.176235876,276.5187362,0.960338632
oil,BA,1126.443604,0.000551103,10.50826491,3.684689895,0.166567741,3.722523034,7.556567069,0.022344677,0.00227986,1739.866964,2.075672474,1.598736197,0.683613321,4.832033632,1.969399387,0.227034945,355.4985895,2.830756205
hydro_runof,BA,4.431406692,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394146,0.051202688,0.804620512,0.047733126
hydro_reservoir,BA,7.380256032,2.5843E-06,0.470091054,0.017406186,0.004732518,0.017748974,0.016033672,0.001810516,0.000107569,8.384079192,0.211352361,0.071410637,0.002461437,0.078456753,0.118529515,0.061080547,1.002438333,29.30023027
coal_chp,BA,1252.199368,0.000120912,6.133264621,2.199140261,8.259222116,2.200909644,6.328291892,2.793596205,0.169719714,190.0042906,65.94997221,21.97568087,0.76676583,11.34267459,1.808541794,0.108235372,268.9748011,18.88030805
gas_chp,CH,422.4050903,0.000186349,0.538046248,0.300916071,0.010442908,0.312449839,0.230386175,0.003311278,0.000220311,14.93748672,0.32584255,0.256777959,0.005089079,0.223414726,0.185171971,0.080129231,155.139348,0.612381757
hydro_runof,CH,3.790417625,7.39819E-07,0.303279332,0.013172082,0.004829607,0.013495008,0.010246402,0.001274253,6.0794E-05,5.451643497,0.168800426,0.054589043,0.001524595,0.060931224,0.155448087,0.047314675,0.622354944,0.042749125
diesel_chp,CH,709.1494229,0.000401459,5.919922061,0.94982898,0.055078657,1.01558508,1.281556321,0.015215565,0.001741781,101.330998,1.557082239,0.601382868,0.02150635,1.888989838,1.450542597,0.2865252,210.194779,2.157796495
biomass,CH,47.34559006,0.000276515,1.891769923,1.445803688,0.093814562,1.481367804,1.132194507,0.009829911,0.001717739,558.1691169,2.713003556,1.018618676,0.207349438,1.664337967,429.2475022,0.157246951,10.62185591,0.247335344
windon,CH,39.85342509,1.47277E-05,2.402010091,0.110051667,0.038277217,0.113941424,0.262373401,0.059739005,0.004048355,517.9251097,57.31763723,14.04241344,0.026627053,4.114916567,1.592136562,1.062823225,8.531912382,0.43854525
other_biogas,CH,288.6536876,0.001210968,53.21862498,0.566940131,0.044246231,0.574806552,8.727430622,0.387720376,0.061842532,185.9709674,35.58442554,10.48946323,0.105747492,4.318737736,35.74845751,0.744118521,21.65944934,3.505419393
solar,CH,135.9471258,4.7765E-05,12.10874131,0.315575988,0.12076675,0.331062171,0.60364418,0.111597313,0.010692353,1494.747365,31.29680111,8.854271569,0.047928868,6.140844224,3.589479489,1.464919265,31.20611339,4.179364824
hydro_reservoir,CH,7.38273369,2.58432E-06,0.47009238,0.017406367,0.004732558,0.017749156,0.016033764,0.001810677,0.000107569,8.3841844,0.211357332,0.071412237,0.002461445,0.078457367,0.118529969,0.061080609,1.002435963,29.30023283
waste,CH,293.6824259,0.000668703,30.30100353,0.798831589,0.243215141,0.823330589,1.675734604,0.116359566,0.125623618,604.3284447,16.4329318,5.209876142,0.292823893,6.564763083,108.8156741,3.054251674,83.0026627,6.726236517
nuclear_BWR,CH,12.37145479,2.4492E-05,761.4224113,0.039832703,0.0271798,0.040582509,0.044841072,0.008139351,0.013189428,96.35979581,0.868446637,0.310762504,0.006883502,1.585223614,0.315632533,0.969796681,2.854403667,3.107793104
nuclear_PWR,CH,11.72989548,2.34872E-05,688.4730916,0.037716543,0.026087208,0.038429719,0.042699872,0.007820631,0.012408249,91.58196823,0.827222863,0.296037352,0.006599027,1.494745595,0.28601608,0.916712862,2.72103659,3.085074262
gas_chp,BG,424.2500634,0.000170234,0.587604174,0.297757318,0.010776291,0.308392225,0.217089415,0.003266176,0.000216038,15.0622287,0.32593272,0.284537611,0.005099553,0.205206512,0.177242964,0.079709635,157.2497715,0.620935892
gas,BG,814.1232271,0.000316908,1.032408487,0.821590656,0.018624153,0.841155512,0.493274973,0.005200309,0.000351703,19.06382934,0.489692745,0.487723417,0.008436444,0.325841248,0.296426229,0.11657164,291.0737876,1.014021992
coal,BG,2174.554799,0.000281021,14.41440683,4.83518671,0.457921017,4.859282203,8.96129626,1.006959725,0.061832836,454.851751,33.66827012,11.6360678,0.321263202,6.553397253,17.22530754,0.37936526,472.6041745,3.564755891
oil,BG,1704.786935,0.000831382,15.90849301,8.462121715,2.074290846,8.519422878,11.20609966,0.047172167,0.003665952,29372.70757,9.399636034,17.12587257,2.960152499,37.93948381,2.998690562,0.343743452,537.2478444,3.676716203
hydro_runof,BG,4.431406692,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394119,0.051202688,0.804620512,0.044695719
oil_chp,BG,985.4286124,0.000480567,9.195914523,4.891407414,1.199014111,4.924530106,6.477513417,0.027272202,0.002119317,16978.40172,5.434001642,9.899545262,1.711065392,21.93054873,1.733670655,0.198830619,310.5478345,73.03168858
other_biogas,BG,345.3759723,0.00129608,7.379338814,0.651774059,0.08656705,0.660963527,9.008573826,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.52948079
windon,BG,32.27881018,1.19339E-05,1.946351961,0.089174279,0.031015982,0.092326163,0.212601851,0.048405836,0.0032804,419.6765254,46.44471357,11.37862224,0.021575981,3.334332029,1.290112754,0.861210061,6.913461063,0.355344039
biomass,BG,51.60533106,0.00027794,0.851953375,1.455810709,0.09682835,1.479245039,1.14923499,0.009162279,0.001242171,557.4004373,2.569511852,1.001739563,0.186881562,1.64331027,700.3961648,0.163564476,12.04362122,0.200674903
solar,BG,77.5923342,2.71831E-05,6.892664147,0.180114035,0.069138105,0.188892306,0.344415712,0.063375177,0.006075185,847.1827943,17.74685032,5.021815528,0.0273228,3.481640648,2.049266526,0.831556177,17.79357921,2.372628458
waste,BG,865.793727,0.000547025,8.707730606,5.13149305,1.144119505,5.171311863,6.054039783,0.028014379,0.002443548,14731.08611,5.906483014,8.928183383,1.549191399,19.50367031,335.6038956,0.257071073,271.3797739,20.27948674
nuclear_BWR,BG,12.9375931,2.36091E-05,688.2466998,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.84202492,0.844877076,0.302116576,0.006873444,1.499163106,0.290579616,0.91665853,2.990996338,3.077207754
coal_chp,BG,1342.788695,0.000173578,8.921769849,3.737137194,0.365180771,3.752062911,7.326206435,0.621657042,0.038359076,283.1717458,20.82950303,7.197956445,0.198521246,4.065475777,10.64935396,0.24515065,291.7684219,44.90597582
gas_chp,RoW,463.468633,9.99017E-05,0.585709471,0.284800034,0.014776832,0.292122774,0.128694922,0.004301983,0.000259195,16.37898848,0.361178267,0.123623228,0.005608853,0.421111975,0.211461354,0.088225164,185.2791485,0.751593674
gas,RoW,647.1501836,0.000149564,0.937761016,0.520422109,0.02157044,0.531300802,0.247676965,0.00892907,0.000547235,51.39312347,0.99256542,0.353644781,0.008439141,0.793260321,0.623159591,0.156969271,256.9814283,1.054295853
coal,RoW,1114.238472,0.000147582,3.108939172,3.522624497,0.40604494,3.531967612,7.549529656,0.753168941,0.047292618,240.8677391,31.66367622,10.54560369,0.26937805,11.16172468,9.315350851,0.147595062,247.5041628,1.86814701
oil,RoW,936.2635258,0.000451883,6.755171881,3.089162084,0.130732398,3.118109871,6.159404616,0.011273667,0.000943848,1472.377103,1.375442609,1.223718386,0.580083291,3.855321439,1.239656626,0.156249051,268.4967177,2.32329698
hydro_runof,RoW,4.707620909,9.04649E-07,0.138905866,0.015814388,0.005987645,0.016172878,0.013096059,0.001550821,7.28034E-05,6.479035467,0.206596428,0.065548114,0.001868457,0.072909915,0.213948369,0.051458436,0.868917817,0.052751895
oil_chp,RoW,857.6252349,0.000421792,6.145219214,2.660283763,0.119431066,2.686539569,6.008016617,0.010287988,0.000892929,1444.76931,1.265384054,1.168195368,0.517706608,3.620425756,1.131572052,0.142459306,244.2037827,56.18180743
other_biogas,RoW,345.7349789,0.001296103,7.273605022,0.652830157,0.087343585,0.662026421,9.010395163,0.402966047,0.08424693,138.1685752,36.47304547,10.67317316,0.106648114,4.929671875,44.2637952,0.455443215,33.0655114,3.525888691
windon,RoW,39.78786872,1.47268E-05,2.3973655,0.11006329,0.038298594,0.113952926,0.262381963,0.059728214,0.004047849,517.8820016,57.31310811,14.04129115,0.026625512,4.114592977,1.591678137,1.062731822,8.532651008,0.438442876
biomass,RoW,49.1387025,0.000276504,0.716294926,1.457616268,0.097373281,1.474801871,1.150566586,0.009006594,0.000967799,548.2984227,2.528784383,0.987193145,0.17591889,1.590056593,678.2048571,0.160181173,11.32968208,0.170629782
solar,RoW,90.56211577,2.85372E-05,7.418122742,0.20282457,0.076966938,0.212648598,0.346742596,0.052395649,0.005823514,774.3169048,8.0621316,2.559813408,0.028929577,2.584005296,25.45141558,0.731973042,20.3439041,2.685667118
hydro_reservoir,RoW,62.95579635,2.13176E-06,0.274063442,0.01911003,0.005818484,0.019470872,0.017545009,0.00174821,9.93801E-05,8.759772283,0.182403391,0.061762997,0.002563026,0.076495989,0.106895723,0.060875272,1.13736543,29.3003241
blast_furnace,RoW,952.681884,0.000104712,6.536715205,1.746081968,0.728558151,1.865743358,2.241583817,0.215494895,0.013899803,266.0505488,8.426393109,2.900462715,0.233857381,5.007450418,7.349041674,19.52254714,136.5585309,2.346411131
peat,RoW,1202.712816,0.000128468,3.121470054,1.427863931,0.230042781,1.430671267,2.750961702,0.016348276,0.002604628,207.2672318,13.93123465,4.68311417,0.09667979,8.871354346,3.742091436,0.14278332,280.6487673,2.65385313
waste,RoW,482.4091111,0.000592368,441.5985103,1.167893513,0.326604795,1.200428374,2.361892323,0.185760088,0.128858838,890.6366638,25.64650658,8.171639305,0.658842518,9.98786296,144.7830939,3.953600158,122.3187253,21.76054972
nuclear_BWR,RoW,13.89750178,2.54041E-05,784.9700688,0.042819504,0.030302392,0.043606381,0.049087603,0.009090049,0.013648894,99.41610467,0.910648902,0.325683437,0.007340748,1.640132787,0.326694785,1.000134738,3.205507415,3.064480425
nuclear_PWR,RoW,13.01165029,2.36174E-05,688.2208392,0.039930932,0.028288937,0.040661746,0.046109741,0.008463878,0.012436426,91.85266752,0.844805646,0.302112948,0.006876797,1.499255281,0.289261778,0.916619608,3.00554472,3.032353848
coal_chp,RoW,1407.51992,0.000137698,2.012233484,3.143628777,0.519165916,3.151708268,6.885152886,0.436114471,0.027715115,259.5596571,23.83502526,7.965981439,0.206209327,10.48770503,12.70975618,0.173622075,248.3382842,45.12510273
lignite_chp,RoW,1378.661565,0.000151957,2.07481066,2.467653515,8.352962735,2.473382589,6.584593767,2.499087941,0.154070236,229.1364023,68.62251606,22.79781264,0.756270881,16.20636737,24.40616051,0.172251305,285.7733107,19.05793289
gas_chp,UK,364.4819611,0.000108527,1.021648334,0.235324685,0.008711937,0.239823186,0.109857215,0.00217396,0.000145944,12.86721741,0.245736883,0.38029663,0.004089594,0.137050973,0.139845838,0.062773515,146.1341369,0.548775823
gas,UK,532.5610609,0.000153385,1.391042949,0.533860723,0.011209849,0.540065586,0.222827668,0.002407458,0.000168092,11.37857905,0.258577931,0.503814177,0.004973901,0.151243133,0.172074467,0.0645881,204.8215694,0.746655741
coal,UK,1220.70865,0.000103865,8.205677417,2.719534724,0.27386756,2.732862307,6.025036373,0.590033096,0.037554238,221.528828,19.73091548,6.78207541,0.185491276,3.649773232,10.13198206,0.23269101,277.2589868,2.067277088
oil,UK,1348.835167,0.000658388,12.57759186,4.609838531,0.148625192,4.655210209,14.86377363,0.026648899,0.002668175,1631.414802,3.015368387,1.977695875,0.850240219,5.253128776,2.357531389,0.272135498,425.4856242,3.321527106
hydro_runof,UK,4.43140669,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394132,0.051202688,0.804620512,0.05130776
oil_chp,UK,663.9429049,0.00032408,6.191286965,2.269123507,0.073162211,2.291457402,7.316430868,0.013120915,0.001313549,803.0584297,1.484739842,0.97364789,0.418516745,2.585967757,1.160674816,0.134045336,209.4383868,47.15753779
other_biogas,UK,345.3759733,0.00129608,7.379338814,0.65177403,0.08656705,0.660963498,9.008573844,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656375,32.97935236,3.529482622
windon,UK,24.84708287,9.18626E-06,1.498232238,0.068643187,0.023874996,0.071069395,0.163653266,0.037261086,0.002525134,323.0519655,35.75148244,8.758857222,0.016608424,2.566649575,0.993082839,0.66292885,5.321736168,0.273617509
biomass,UK,51.49026918,0.000277945,0.851989595,1.455789392,0.096823278,1.479223146,1.149217874,0.009160065,0.001237793,557.3947003,2.562633624,0.9995992,0.186824319,1.642460835,700.3841649,0.16356724,12.04383859,0.200710974
solar,UK,90.56211577,2.85372E-05,7.418121971,0.20282457,0.076966938,0.212648598,0.346742599,0.052395653,0.005823514,774.3169468,8.062131632,2.559813426,0.028929579,2.584005342,25.4514157,0.731973054,20.34390451,2.685725719
blast_furnace,UK,952.6816159,0.000104712,6.536715169,1.746081909,0.728558093,1.8657433,2.241583796,0.215494895,0.013899803,266.0505486,8.426393108,2.900462714,0.233857381,5.007450416,7.349041674,19.52254714,136.5585309,2.346415487
waste,UK,194.2905737,0.000544851,45.35586318,0.86955402,0.107941754,0.889109982,1.129762548,0.045753686,0.005021706,427.0540603,6.043353243,2.691438109,0.288531414,4.299521325,195.0445533,1.253801476,284.0227054,2.516520225
nuclear_BWR,UK,13.50463298,2.46159E-05,761.1804528,0.041578433,0.029353545,0.042344522,0.047804971,0.008875441,0.013224118,96.59701135,0.887924746,0.317406572,0.007181172,1.58989398,0.322076098,0.969745313,3.114553477,3.058351271
nuclear_PWR,UK,12.9375931,2.36091E-05,688.2467,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.8420255,0.844877076,0.302116577,0.006873444,1.499163107,0.290579616,0.91665853,2.990996338,3.077205283
gas_chp,SK,678.9789337,0.000378515,0.915761503,0.507939162,0.016825916,0.536673395,0.560103377,0.005873192,0.000410035,21.42377712,0.541523908,0.185908077,0.008222256,0.368250522,0.260398532,0.12684437,201.2608911,0.690946724
gas,SK,1099.717265,0.000613496,1.42723304,0.947037887,0.025804126,0.993491379,0.947270747,0.008650929,0.000615103,26.06356027,0.761008842,0.260968931,0.012280667,0.542492088,0.389464572,0.173776794,326.0658531,1.115808999
oil,SK,981.1168305,0.000478531,9.156551377,4.870552982,1.193879911,4.903532634,6.449911227,0.027149293,0.002098018,16906.1003,5.402744706,9.854787756,1.703452379,21.83549679,1.726067125,0.197859406,309.2253895,2.490912346
hydro_runof,SK,4.431406692,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394146,0.051202688,0.804620512,0.044940889
oil_chp,SK,1426.79013,0.000695902,13.31628256,7.082995844,1.736197582,7.130957378,9.379775926,0.03948914,0.003051435,24585.6113,7.857937014,14.33160278,2.47723553,31.75456268,2.510601142,0.28793249,449.6911165,110.3320406
other_biogas,SK,345.3759723,0.00129608,7.379338814,0.651773881,0.08656705,0.660963348,9.008573792,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.529480324
windon,SK,39.83540713,1.47276E-05,2.402000616,0.110050366,0.038276926,0.113940119,0.262372732,0.059737833,0.004048353,517.9243416,57.31760191,14.04240203,0.026626999,4.11491213,1.592133235,1.0628228,8.531930229,0.438549793
biomass,SK,51.59590771,0.00027794,0.851958824,1.455807164,0.096826057,1.479241331,1.149232654,0.009162118,0.001241149,557.4003557,2.568876086,1.001535734,0.186853426,1.643189504,700.394561,0.163564995,12.04370568,0.20067503
solar,SK,90.43577343,3.16825E-05,8.033562539,0.209927349,0.080582158,0.220158632,0.40142484,0.073865288,0.007080772,987.4117911,20.68437719,5.853045788,0.031845385,4.057935727,2.388469727,0.969198629,20.73883601,2.765004724
hydro_reservoir,SK,62.31988924,2.04531E-06,0.470092095,0.017406227,0.004732531,0.017749016,0.016033706,0.00181052,0.000107569,8.384096826,0.211352825,0.071410793,0.002461443,0.078456924,0.118529778,0.061080684,1.002440507,29.30047907
blast_furnace,SK,952.6818245,0.000104712,6.536715169,1.746081968,0.728558093,1.865743358,2.241583817,0.215494895,0.013899803,266.0505488,8.426393108,2.900462714,0.233857381,5.007450416,7.349041674,19.52254714,136.5585309,2.346415376
waste,SK,929.7916058,0.000542734,9.613869041,4.994891172,1.139698198,5.033300714,6.366990383,0.028951439,0.002436321,15859.75861,5.940872497,9.49516189,1.644409201,20.84966301,227.9756868,0.259107746,292.7325956,38.02931026
nuclear_PWR,SK,12.93759314,2.36091E-05,688.2467,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.8420255,0.844877076,0.302116577,0.006873444,1.499163107,0.290579616,0.91665853,2.990996338,3.077202639
coal_chp,SK,1596.362969,0.000227608,10.80364381,3.561191042,2.606422467,3.578381911,9.108082586,0.761478824,0.047641799,499.2411202,24.48715592,8.414710988,0.239502446,4.903070369,13.00298027,0.288606629,360.4108565,63.56583157
gas_chp,SI,424.2501629,0.000170234,0.587604174,0.297757347,0.010776292,0.308392253,0.217089425,0.003266176,0.000216038,15.06222889,0.32593272,0.284537611,0.005099554,0.205206513,0.177242964,0.079709635,157.2497715,0.620939308
gas,SI,1195.042304,0.000465187,1.515462037,1.206004093,0.027338196,1.234723177,0.72407297,0.007633481,0.000516262,27.98361243,0.718815099,0.715924324,0.012383767,0.478299076,0.435120963,0.171114336,427.2643009,0.876789279
oil,SI,1416.554804,0.000691596,13.21087154,1.750580723,0.17869607,1.79823907,2.333691893,0.028018765,0.002844506,1631.132184,2.562396614,1.732145628,0.842108606,5.498800117,2.476266676,0.285719041,446.9107924,3.109453822
hydro_runof,SI,4.43140669,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394146,0.051202688,0.804620512,0.048735789
oil_chp,SI,891.5811977,0.000444278,8.265427593,2.74858891,0.131487449,2.778268289,6.349174026,0.017614119,0.001777509,1474.004015,1.609824206,1.301125272,0.527232441,3.904030264,1.549737232,0.17885839,279.5981565,56.420196
other_biogas,SI,345.37598,0.00129608,7.379338814,0.65177385,0.08656705,0.660963316,9.008573723,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.52948134
windon,SI,39.83540713,1.47276E-05,2.402000616,0.110050366,0.038276926,0.113940119,0.262372732,0.059737833,0.004048353,517.9243416,57.31760191,14.04240203,0.026626999,4.11491213,1.592133235,1.0628228,8.531930229,0.438549793
biomass,SI,51.48974349,0.000277946,0.851975538,1.455793006,0.096824337,1.479226804,1.149219662,0.009160239,0.001236539,557.3954381,2.562432838,0.999546389,0.186836499,1.64246744,700.3835742,0.163567287,12.04376813,0.20070742
solar,SI,82.96032979,2.90636E-05,7.369514615,0.19257482,0.073921236,0.201960393,0.368243125,0.067759627,0.006495479,905.7928687,18.9746272,5.369238633,0.029213057,3.722508752,2.191040254,0.88908523,19.02457903,2.536516062
waste,SI,482.4091111,0.000592368,441.5985103,1.167893513,0.326604795,1.200428374,2.361892323,0.185760088,0.128858838,890.6366676,25.6465066,8.171639309,0.658842518,9.98786296,144.7830939,3.95360016,122.3187253,21.76055021
nuclear_PWR,SI,12.93759314,2.36091E-05,688.2467002,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.8420255,0.844877076,0.302116577,0.006873444,1.499163107,0.290579616,0.91665853,2.990996338,3.077214993
coal_chp,SI,1261.43652,4.69809E-05,5.951823582,3.057538057,0.512961287,3.059144507,23.22362764,2.733809136,0.165758201,138.4634727,66.04649642,22.03382401,0.756179615,12.07907005,1.710653168,0.086411072,261.7607182,19.60075884
gas_chp,RS,886.1312524,0.00035556,1.393763919,0.771690058,0.023934989,0.794077679,0.523583588,0.010575038,0.000686626,67.67102248,1.297818359,0.803411832,0.011354642,0.707786889,0.800990255,0.209157079,328.1729914,1.1397235
oil_chp,RS,905.504752,0.000440511,8.415281825,1.732109299,0.193349667,1.762469831,6.28775202,0.017858258,0.00182806,3914.99209,1.722549945,2.482206935,0.738692568,6.43008697,1.577692758,0.18210695,284.6755064,66.9480097
other_biogas,RS,345.3759733,0.00129608,7.379338814,0.651774063,0.08656705,0.660963535,9.008573913,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656375,32.97935236,3.529482622
solar,RS,81.71227072,2.86264E-05,7.258645134,0.189677639,0.072809157,0.198922014,0.362703097,0.066740236,0.006397762,892.1658912,18.68916079,5.288460577,0.028773573,3.666506483,2.15807771,0.87570961,18.73837186,2.498432907
hydro_reservoir,RS,7.380257183,2.5843E-06,0.470091054,0.017406186,0.004732518,0.017748974,0.016033672,0.001810516,0.000107569,8.384079192,0.211352363,0.071410637,0.002461437,0.078456753,0.118529515,0.061080547,1.002438333,29.30020119
waste,RS,482.4091111,0.000592368,441.5985103,1.167893543,0.326604795,1.200428403,2.361892333,0.185760088,0.128858838,890.6366677,25.64650661,8.171639311,0.658842519,9.987862965,144.7830939,3.95360017,122.3187253,21.76058199
coal_chp,RS,1252.198408,0.000120912,6.133264621,2.199138166,8.259216529,2.200907549,6.328286947,2.793596377,0.169719714,190.0041997,65.94997221,21.97568085,0.766765828,11.34267436,1.808541794,0.108235372,268.9748011,18.88033829
gas_chp,RO,424.250253,0.000170234,0.587604174,0.297757522,0.010776292,0.308392429,0.217089488,0.003266176,0.000216038,15.06222927,0.32593272,0.284537611,0.005099555,0.205206514,0.177242964,0.079709635,157.2497715,0.620937668
